class_id,class,concept_id,concept,mapping,description
0,syntax,1,object,unipolar,"Measures the degree to which a token functions as a linguistic entity, person, place, thing, or pronoun. Scales from complete absence of nominal function (0.0) up to a textbook, unambiguous noun or pronoun acting as a core subject or object (4.0). Words with nominalized dual-roles (like gerunds or noun adjuncts) should receive intermediate values."
0,syntax,2,action,unipolar,"Measures the degree to which a token denotes a physical action, mental process, or state of being. Maps to verbs, including main, auxiliary, modal, and phrasal verbs. Scales from zero verbal function (0.0) up to an absolute, finite main verb (4.0). Non-finite verb forms like infinitives and participles should scale between 1.5 and 3.0 based on verbal intensity."
0,syntax,3,qualifier,unipolar,"Measures the degree to which a token serves to modify, describe, limit, or quantify an object or action. Maps directly to adjectives and adverbs. Scales from non-modifier status (0.0) up to a pure, dedicated descriptive modifier (4.0). Nouns functioning as modifiers or verbs acting as participles should receive intermediate scores."
0,syntax,4,structural,unipolar,"Measures the degree to which a token serves a purely grammatical, structure-building, or connective role within a sentence rather than carrying lexical meaning. Maps to prepositions, conjunctions, and determiners (e.g., 'the', 'a', 'in', 'and'). Scales from semantic content words (0.0) up to absolute closed-class function words (4.0)."
0,syntax,5,punctuation,unipolar,"Measures whether the token represents a standard, grammatically significant punctuation mark used to establish sentence boundaries and structural clauses. Maps to periods, commas, colons, semicolons, dashes, and quotation marks. Scales from standard lexical tokens (0.0) up to explicit, standard grammatical punctuation marks (4.0)."
0,syntax,6,alpha,unipolar,"Measures the literal composition of the token as an isolated alphabetical character, completely independent of case or semantic meaning. Scales from multi-character sequences or non-alphabetic symbols (0.0) up to a single, standalone character from the a-z or A-Z alphabet (4.0)."
0,syntax,7,numeric,unipolar,"Measures the presence of literal numeric quantitative information. Maps to raw digits (e.g., '1', '2.5') and explicitly spelled-out cardinal numbers (e.g., 'one', 'hundred'). Scales from zero numeric context (0.0) up to a pure cardinal number token (4.0). Excludes ordinal modifiers like 'first'."
0,syntax,8,alphanumeric,unipolar,"Measures whether the token represents a highly structured sequence combining both alphabetic letters and numeric digits. Maps to code identifiers, keys, serial numbers, PINs, or data strings (e.g., 'A123B4') where the blend has specific syntactical significance. Scales from standard words or pure digits (0.0) up to explicit alphanumeric codes (4.0)."
0,syntax,9,glyph,unipolar,"Measures whether the token represents a non-alphanumeric graphical symbol, icon, special character, or emoji that falls outside standard linguistic punctuation but carries intent (e.g., '@', '#', '&', ':)'). Scales from standard text or standard punctuation (0.0) up to a standalone graphical symbol or non-traditional text glyph (4.0)."
0,syntax,10,question,unipolar,"Measures the presence of inquisitive or interrogative syntax. Maps to wh-words (e.g., 'who', 'what', 'why'), interrogative auxiliary verbs, or explicit markers used to initiate or formulate questions. Scales from standard declarative language (0.0) up to a dedicated interrogative operator (4.0)."
0,syntax,11,whitesapce,unipolar,"Measures whether the token functions strictly as a structural, non-printing spatial character used to separate linguistic elements or format text layout. Maps to literal spaces, tabs, line breaks, carriage returns, and mathematical padding tokens. Scales from standard visible alphanumeric text or punctuation (0.0) up to pure, standalone formatting whitespace or layout delimiters (4.0)."
0,syntax,12,unknown,unipolar,"Measures the degree of lexical or syntactical ambiguity, out-of-vocabulary status, severe spelling errors, or corrupted token strings (e.g., 'whta'). Scales from clean, perfectly identifiable dictionary words (0.0) up to completely un-categorizable, corrupt, or novel linguistic fragments requiring flag or fallback processing (4.0)."
1,cognitive,1,certainty,bipolar,"Measures epistemic confidence. Negative values represent complete impossibility, random chaos, or total doubt. Zero represents complete ambiguity or a random guess. Positive values represent proven fact, explicit truth, or absolute axiomatic certainty."
1,cognitive,2,absoluteness,unipolar,"Measures the degree of totals, absolutes, or boundaries applied to a concept. Scales from loose approximations and partial states up to words denoting totalities, all-encompassing limits, or absolute universal parameters (e.g., some vs. all, part vs. whole)."
1,cognitive,3,polarity,bipolar,"Measures structural, electrical, or mathematical directionality. Negative values represent systemic deficit, loss, decay, negative, or subtraction. Zero represents static equilibrium, neutral, or stagnation. Positive values represent systemic surplus, growth, creation, positive, or addition."
1,cognitive,4,insult,bipolar,"Measures social valence and interpersonal praise. Negative values represent offensive, derogatory expressions, slurs, or deep hostility. Zero represents completely objective, non-evaluative terminology. Positive values represent high praise, compliments, and admiration."
1,cognitive,5,formality,bipolar,"Measures socio-linguistic register. Negative values represent highly informal, casual, vulgar, or slang-driven expressions. Zero represents neutral, everyday transactional language. Positive values represent highly academic, formal, ceremonial, or sacred expressions."
1,cognitive,6,morality,bipolar,"Measures ethical value. Negative values represent malicious, cruel, or deeply immoral acts. Zero represents ethically neutral physical processes or objective logic. Positive values represent altruistic, just, and exceptionally virtuous principles."
1,cognitive,7,hierarchy,unipolar,"The degree of structured rank, priority, position, or stratified authority within a defined social, military, corporate, or ordinal system. Scales from absolute equality up to supreme, unreviewable command."
1,cognitive,8,scale,unipolar,"The physical or conceptual size, magnitude, or structural dimension of an object, space, or idea. Scales from microscopic points up to cosmic, universal, or infinite spatial extensions."
1,cognitive,9,worth,bipolar,"Measures utility, economic, or functional value. Negative values represent debt, systemic ruin, liabilities, or absolute uselessness. Zero represents completely inert, valueless, or common matter. Positive values represent vital assets, high utility, or priceless, irreplaceable importance."
1,cognitive,10,plurality,unipolar,"The grammatical or semantic expression of quantity greater than one. Measures the structural progression from strict singularity up to infinite, massive, or unquantifiable groups of entities."
