word,object,action,qualifier,structural,punctuation,alpha,numeric,alphanumeric,glyph,question,whitesapce,unknown,certainty,absoluteness,polarity,insult,formality,morality,hierarchy,scale,worth,plurality,necessity,temporality,quickness,nothingness,dynamism,continuity,artificiality,agency,abstractness,mysticism,affect,arousal,fear,hedonics,valence,mass,time,length,width,height,temperature,luminance,origin,destination,lateralism,verticality,precedence,dimensionality,containment,boundary,proximity,rotational,terrestrial,gaseousness,fluidity,ignition,safety,shelter,sustenance,gender,audibility,palatability,olfactibility,hue,saturation,color_value,transparency,strength,dexterity,intelligence,wisdom,constitution
a,2.5,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,0.5,0.0,0.0,-1.5,0.0,0.2,0.5,0.0,0.2,0.0,-0.5,0.0,0.0,-1.5,-1.5,-1.5,0.2,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.2,0.5,0.0,0.2,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.5,-1.5,0.2,0.5,0.0,0.5,0.0,0.2,0.0,-0.5,0.0,0.0,-0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0
able,1.5,2.0,3.5,1.5,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,1.5,2.8,1.5,0.5,2.5,1.2,1.2,2.8,0.2,2.8,0.5,1.5,0.2,2.8,2.8,-0.5,2.5,1.5,0.2,0.0,0.5,0.2,0.5,0.5,0.2,0.2,0.8,0.5,0.5,0.2,0.5,0.8,0.5,-0.5,2.5,2.8,1.5,1.5,0.8,1.5,0.2,0.5,0.2,0.2,0.2,2.8,1.5,1.5,-0.5,1.2,0.5,0.2,0.0,0.0,0.0,1.5,2.5,2.8,2.5,1.2,1.5
aboard,1.5,2.5,2.5,3.5,0.5,2.8,0.0,0.5,0.5,0.0,0.5,0.5,2.5,2.5,2.5,0.0,0.5,0.0,0.8,1.2,2.5,1.5,2.5,-1.5,-1.5,0.2,-2.5,2.5,-0.5,0.5,0.8,0.1,0.0,0.0,0.2,0.0,0.0,0.2,0.2,1.5,0.5,0.2,0.2,0.2,0.8,2.5,4.0,-1.5,2.5,2.5,2.5,2.5,3.5,0.2,0.8,0.2,0.8,0.1,-0.5,1.5,0.0,-0.5,0.2,0.2,0.2,0.0,0.0,0.0,0.2,0.5,0.5,0.2,0.5,0.2
about,1.5,0.5,2.5,2.5,0.0,2.5,0.0,0.0,0.0,0.5,0.0,0.5,-0.5,1.5,-0.5,0.0,0.5,0.0,0.2,0.8,-0.5,0.5,-0.5,-0.5,-0.5,0.2,-1.5,-0.5,-1.5,0.8,0.8,0.2,-0.5,-0.5,0.5,-0.5,0.0,0.2,0.8,0.8,0.8,0.2,0.2,0.2,0.8,1.5,-0.5,-0.5,-0.5,1.2,-1.5,0.8,2.5,0.2,0.5,0.2,0.5,0.2,-0.5,0.2,-0.5,-0.5,0.2,0.2,0.2,0.0,0.0,0.0,0.2,0.2,0.2,0.8,1.5,0.5
above,1.5,0.5,3.5,2.8,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.5,3.5,2.8,3.5,0.5,2.5,2.5,1.5,3.5,2.8,2.5,2.5,3.8,4.0,0.2,3.5,3.8,2.5,0.5,1.5,1.2,0.0,0.0,0.5,2.8,2.8,0.5,1.5,2.5,2.5,3.8,1.5,2.5,0.5,1.5,4.0,4.0,4.0,2.8,4.0,2.8,3.5,0.5,0.5,3.5,0.5,0.2,2.8,0.5,0.0,-1.5,2.8,0.5,1.5,0.0,0.0,0.0,2.8,1.5,1.5,1.5,1.5,1.5
according,2.5,1.5,2.5,1.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.5,-0.5,0.0,0.5,0.0,0.8,0.8,-0.5,0.2,0.0,-0.5,-0.5,0.0,-0.5,-0.5,-0.5,1.5,0.8,0.5,0.0,-0.5,0.5,-0.5,0.0,0.5,0.2,0.5,0.5,0.5,0.2,0.5,0.8,1.5,-0.5,0.0,-0.5,1.2,-1.5,0.8,1.5,0.2,0.5,0.5,0.5,0.2,-0.5,0.5,-0.5,-0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.2,0.5,0.5,1.5,2.8,0.5
across,1.5,2.8,1.5,3.8,0.0,2.0,0.0,0.0,0.0,0.0,1.5,0.5,-0.5,1.5,0.0,0.0,0.0,0.0,0.2,1.5,-1.5,0.5,0.0,-2.0,0.0,0.2,-2.5,-2.5,-0.5,0.2,0.8,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.8,3.5,3.5,0.2,0.2,0.2,0.2,2.5,-2.0,-2.0,4.0,2.5,-3.5,2.8,3.5,0.2,1.5,0.5,0.2,0.2,-0.5,0.2,-0.5,-0.5,0.2,0.2,0.2,0.0,0.0,0.0,2.5,0.5,1.5,0.2,0.5,0.5
action,2.8,4.0,0.5,0.8,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,-1.5,0.8,2.8,0.0,0.5,-0.5,1.5,1.8,-1.5,0.5,0.0,-1.5,3.5,0.2,3.8,-2.0,-1.5,3.5,2.5,0.2,0.0,-1.5,0.8,-0.5,-0.5,0.2,1.2,1.5,0.5,0.5,2.8,0.5,2.8,2.8,-0.5,-0.5,3.5,2.8,-2.0,0.8,2.8,1.2,0.2,0.2,0.2,1.5,-0.5,0.8,-0.5,-1.5,2.8,0.2,0.2,0.0,0.0,0.0,0.2,2.8,3.5,2.5,1.2,1.2
actually,1.5,2.5,2.5,2.5,0.0,0.5,0.0,0.0,0.0,2.5,0.0,1.5,-1.5,0.8,-0.5,0.0,-0.5,0.0,0.2,0.2,-0.5,0.2,0.0,-0.5,-0.5,0.2,-1.5,-1.5,-0.5,0.8,1.5,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0.0,0.2,0.2,-0.5,0.0,-0.5,0.8,-1.5,0.2,0.8,0.0,0.2,0.2,0.0,0.0,-0.5,0.0,-0.5,-0.5,0.2,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.0,1.2,1.2,0.0
af,0.5,0.5,0.0,0.5,0.0,3.5,0.0,0.0,0.0,0.0,0.0,1.5,-0.5,0.5,-0.5,-1.5,-2.5,-0.5,0.2,0.2,-0.5,0.2,0.2,-0.5,-0.5,0.0,-0.5,-0.5,-1.5,0.2,0.5,0.0,0.2,-0.5,2.8,-0.5,-0.5,0.0,0.1,0.2,0.0,0.2,0.2,0.5,0.2,0.2,-0.5,-0.5,-0.5,0.2,-2.0,0.2,0.2,0.0,0.5,0.2,0.5,0.2,-0.5,0.0,-0.5,-0.5,0.5,0.2,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.2,0.0,0.0
after,1.5,2.5,1.5,2.8,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,0.8,-0.5,-0.5,0.0,-0.5,0.8,0.8,-0.5,0.5,-0.5,-2.5,-0.5,0.2,-0.5,-0.5,-0.5,0.8,0.5,0.5,-0.5,-0.5,1.2,0.2,-0.5,0.2,2.5,1.5,0.8,0.8,0.8,0.8,0.8,3.5,-0.5,0.2,-2.0,0.8,-2.0,1.5,1.5,0.2,0.5,0.8,0.5,0.2,-0.5,0.8,-0.5,-0.2,0.8,0.8,0.5,0.0,0.0,0.0,0.5,0.5,0.5,1.2,1.5,0.5
